,Unnamed: 0,lsoa11,index2019,LSOA Code,LSOA Name,Mid-2019 population,Area Sq Km,People per Sq Km
375,375,E01000380,0.352231937,E01000380,Bexley 010D,"1,728",0.22,7687
376,376,E01000381,0.046502058,E01000381,Bexley 028A,"1,710",2.06,831
377,377,E01000382,-0.659755144,E01000382,Bexley 027A,"1,552",0.58,2653
378,378,E01000383,-0.17582326,E01000383,Bexley 028B,"1,488",2.79,534
379,379,E01000384,-0.316114855,E01000384,Bexley 027B,"1,708",0.3,5697
380,380,E01000385,0.324354895,E01000385,Bexley 028C,"2,046",0.6,3425
381,381,E01000386,1.258334875,E01000386,Bexley 028D,"1,539",0.55,2790
382,382,E01000387,-0.287014579,E01000387,Bexley 027C,"1,577",0.31,5130
383,383,E01000388,-0.293245303,E01000388,Bexley 016A,"1,553",0.53,2930
384,384,E01000389,-0.605231401,E01000389,Bexley 020E,"1,750",0.44,3957
385,385,E01000390,-0.561211805,E01000390,Bexley 020F,"1,259",0.54,2312
386,386,E01000391,-0.755979731,E01000391,Bexley 021E,"1,763",0.47,3789
387,387,E01000392,-0.301776909,E01000392,Bexley 016B,"2,146",0.22,9715
388,388,E01000393,-0.514549231,E01000393,Bexley 020G,"1,698",0.28,6148
389,389,E01000394,0.031783788,E01000394,Bexley 015E,"1,689",0.24,7127
390,390,E01000395,-0.546219304,E01000395,Bexley 018B,"1,533",0.32,4773
391,391,E01000396,-0.521580055,E01000396,Bexley 018C,"1,371",0.22,6257
392,392,E01000398,-0.310600214,E01000398,Bexley 029A,"1,646",0.23,7043
393,393,E01000399,-0.160998367,E01000399,Bexley 029B,"1,582",0.29,5425
394,394,E01000400,-0.703141359,E01000400,Bexley 029C,"1,570",0.28,5569
395,395,E01000401,0.135910283,E01000401,Bexley 013A,"1,850",0.27,6857
396,396,E01000402,-0.268201855,E01000402,Bexley 005B,"1,614",0.31,5175
397,397,E01000403,0.631225526,E01000403,Bexley 004A,"2,266",0.63,3618
398,398,E01000404,0.411887705,E01000404,Bexley 004B,"2,533",0.17,14891
399,399,E01000405,-0.193984195,E01000405,Bexley 004C,"1,552",0.39,4005
400,400,E01000406,-0.253296978,E01000406,Bexley 005C,"1,988",0.43,4637
401,401,E01000407,0.278995959,E01000407,Bexley 005D,"1,714",0.43,3963
402,402,E01000408,-0.12879057,E01000408,Bexley 004D,"1,852",1.09,1703
403,403,E01000409,-0.755057707,E01000409,Bexley 016C,"1,741",0.23,7683
404,404,E01000410,-0.452629081,E01000410,Bexley 018D,"1,660",0.27,6090
405,405,E01000411,-0.650700489,E01000411,Bexley 016D,"1,466",0.19,7671
406,406,E01000412,-0.552042922,E01000412,Bexley 018E,"1,802",0.25,7346
