,Unnamed: 0,lsoa11,index2019,LSOA Code,LSOA Name,Mid-2019 population,Area Sq Km,People per Sq Km
5074,5074,E01005214,-0.336730143,E01005214,Manchester 019D,"2,597",0.24,10830
5075,5075,E01005215,0.860175194,E01005215,Manchester 034C,"2,040",0.35,5864
5076,5076,E01005216,0.840250887,E01005216,Manchester 034D,"1,417",0.32,4455
5077,5077,E01005217,0.564241258,E01005217,Manchester 034E,"1,913",0.32,6006
5078,5078,E01005218,0.862970272,E01005218,Manchester 034F,"1,705",0.22,7632
5079,5079,E01005219,1.366411228,E01005219,Manchester 031A,"2,241",0.25,9117
5080,5080,E01005220,1.167442955,E01005220,Manchester 031B,"1,999",0.25,8025
5081,5081,E01005221,0.815044438,E01005221,Manchester 031C,"2,403",0.26,9102
5082,5082,E01005222,1.914319105,E01005222,Manchester 031D,"2,128",0.42,5038
5083,5083,E01005223,1.475401656,E01005223,Manchester 007A,"1,477",0.2,7555
5084,5084,E01005224,1.097562167,E01005224,Manchester 007B,"2,210",0.29,7668
5085,5085,E01005225,1.905832307,E01005225,Manchester 007C,"1,982",0.26,7647
5086,5086,E01005226,1.40309447,E01005226,Manchester 007D,"1,888",0.22,8729
5087,5087,E01005227,2.029191957,E01005227,Manchester 009D,"2,068",0.18,11270
5088,5088,E01005228,1.710141342,E01005228,Manchester 009E,"2,145",0.39,5446
5089,5089,E01005229,0.835487082,E01005229,Manchester 007E,"1,440",0.4,3620
5090,5090,E01005230,0.749837078,E01005230,Manchester 022B,"2,134",0.2,10617
5091,5091,E01005231,-0.325363945,E01005231,Manchester 022C,"3,064",0.17,17950
5092,5092,E01005232,0.330771843,E01005232,Manchester 020C,"2,063",0.89,2320
5093,5093,E01005233,-0.14709843,E01005233,Manchester 027D,"2,485",0.1,24033
5094,5094,E01005234,-0.099369062,E01005234,Manchester 027E,"2,164",0.2,10782
5095,5095,E01005235,1.412069507,E01005235,Manchester 020D,"1,912",0.32,6070
5096,5096,E01005236,-0.100410659,E01005236,Manchester 022D,"2,257",0.14,16075
5097,5097,E01005237,-0.246124185,E01005237,Manchester 022E,"1,967",0.16,12172
5098,5098,E01005238,0.137888168,E01005238,Manchester 027F,"2,108",0.21,10159
5099,5099,E01005239,0.525235696,E01005239,Manchester 020E,"1,788",0.27,6664
5100,5100,E01005240,0.47012362,E01005240,Manchester 024A,"3,146",0.5,6340
5101,5101,E01005241,-0.185772568,E01005241,Manchester 025A,"3,213",0.2,16146
5102,5102,E01005242,-0.095610197,E01005242,Manchester 025B,"2,906",0.18,15768
5103,5103,E01005243,0.763109522,E01005243,Manchester 024B,"2,766",0.31,8905
5104,5104,E01005244,-0.618755078,E01005244,Manchester 025C,"3,586",0.19,18974
5105,5105,E01005245,0.356861648,E01005245,Manchester 024C,"2,428",0.31,7745
5106,5106,E01005246,0.050858649,E01005246,Manchester 024D,"2,289",0.14,16200
5107,5107,E01005247,1.366983534,E01005247,Manchester 005A,"1,369",0.24,5702
5108,5108,E01005248,0.975175188,E01005248,Manchester 005B,"1,302",0.35,3727
5109,5109,E01005249,1.437495783,E01005249,Manchester 005C,"2,031",0.73,2782
5110,5110,E01005250,2.161529955,E01005250,Manchester 005D,"1,992",0.32,6227
5111,5111,E01005251,1.852834013,E01005251,Manchester 003D,"1,594",0.3,5326
5112,5112,E01005252,2.415550064,E01005252,Manchester 003E,"1,602",0.27,6018
5113,5113,E01005253,2.094261698,E01005253,Manchester 005E,"1,534",0.27,5615
5114,5114,E01005254,1.548189376,E01005254,Manchester 005F,"1,459",0.24,6004
5115,5115,E01005255,3.775885723,E01005255,Manchester 012D,"1,612",0.33,4883
5116,5116,E01005256,1.617642414,E01005256,Manchester 011A,"2,448",0.8,3062
5117,5117,E01005257,2.857347541,E01005257,Manchester 011B,"1,906",1.73,1103
5118,5118,E01005258,3.581033352,E01005258,Manchester 011C,"1,713",0.3,5741
5119,5119,E01005259,2.662507752,E01005259,Manchester 011D,"1,736",0.24,7242
5120,5120,E01005260,1.790788802,E01005260,Manchester 011E,"1,388",0.36,3858
5121,5121,E01005261,2.477486009,E01005261,Manchester 012E,"1,778",0.25,7101
5122,5122,E01005262,2.551637386,E01005262,Manchester 044B,"1,836",0.28,6669
5123,5123,E01005263,3.479219759,E01005263,Manchester 046A,"1,557",1.17,1332
5124,5124,E01005264,3.350348392,E01005264,Manchester 044C,"1,515",0.42,3636
5125,5125,E01005265,2.94849442,E01005265,Manchester 044D,"1,678",0.3,5564
5126,5126,E01005266,2.551642009,E01005266,Manchester 044E,"2,047",0.32,6351
5127,5127,E01005267,2.419148211,E01005267,Manchester 046B,"1,427",1.18,1212
5128,5128,E01005268,1.910576901,E01005268,Manchester 046C,"2,055",0.82,2495
5129,5129,E01005269,2.218357443,E01005269,Manchester 046D,"1,457",0.6,2449
5130,5130,E01005270,1.581790101,E01005270,Manchester 035A,"1,730",0.22,7998
5131,5131,E01005271,0.774095993,E01005271,Manchester 032C,"2,078",0.18,11361
5132,5132,E01005272,2.383715115,E01005272,Manchester 035B,"1,831",0.48,3818
5133,5133,E01005273,0.751147912,E01005273,Manchester 035C,"1,535",0.15,10550
5134,5134,E01005274,1.391304324,E01005274,Manchester 038A,"1,634",0.25,6451
5135,5135,E01005275,-0.104001872,E01005275,Manchester 038B,"1,691",0.15,11191
5136,5136,E01005276,1.352627168,E01005276,Manchester 038C,"1,597",0.2,7933
5137,5137,E01005277,-0.144879063,E01005277,Manchester 038D,"1,812",0.28,6416
5138,5138,E01005278,0.34589076,E01005278,Manchester 035D,"1,748",0.23,7525
5139,5139,E01005279,1.321127446,E01005279,Manchester 035E,"2,036",0.63,3247
